user_id,username,email,role,joined_at,karma_posts,karma_comments,num_posts,num_comments,communities_followed
U00001,johnsonjoshua655,johnsonjoshua655@gmail.com,user,2025-07-29,2253,2006,57,71,"C174,C190"
U00002,jillrhodes914,jillrhodes914@hotmail.com,user,2025-04-03,3456,260,7,47,"C060,C130,C155,C007"
U00003,garzaanthony575,garzaanthony575@gmail.com,user,2025-05-19,4464,3436,56,229,"C072,C002,C195,C041,C179,C109,C088,C040,C056,C196"
U00004,jesseguzman345,jesseguzman345@hotmail.com,user,2024-10-22,792,2940,88,309,"C012,C187,C118,C138,C032"
U00005,jennifermiles997,jennifermiles997@yahoo.com,mod,2024-03-02,4522,2401,160,316,"C148,C050,C181,C018,C012,C170"
U00006,shaneramirez234,shaneramirez234@gmail.com,user,2024-03-02,1907,827,97,142,"C163,C094,C042,C095,C091,C054,C172,C069"
U00007,helenpeterson719,helenpeterson719@gmail.com,mod,2025-05-18,584,4990,162,87,"C187,C063,C042,C119,C098,C070,C164,C177,C143"
U00008,susanrogers225,susanrogers225@gmail.com,user,2025-10-16,458,1876,8,412,"C103,C069,C017,C055,C146,C184"
U00009,wdavis323,wdavis323@hotmail.com,user,2025-01-22,3241,3758,36,135,"C064,C191,C144"
U00010,lindsay78552,lindsay78552@gmail.com,user,2025-03-30,3509,4780,102,185,"C036,C131,C127,C024"
U00011,smiller774,smiller774@hotmail.com,user,2024-03-26,1252,1310,174,216,"C017,C099,C098,C153,C120,C136,C065,C142,C003,C175"
U00012,barbara10739,barbara10739@hotmail.com,user,2025-02-21,2185,2786,28,150,"C041,C117,C001,C185,C068,C129,C196"
U00013,kendragalloway183,kendragalloway183@gmail.com,user,2024-03-23,2444,4158,155,101,"C096,C196,C042"
U00014,jamesshawn553,jamesshawn553@yahoo.com,mod,2025-02-15,4,4906,82,250,C029
U00015,mitchellclark952,mitchellclark952@yahoo.com,user,2025-10-07,2519,1961,14,123,"C021,C022,C188,C125,C018,C195,C137,C197,C033,C169"
U00016,lynchgeorge487,lynchgeorge487@hotmail.com,mod,2024-05-08,2171,4322,155,216,"C139,C194,C187,C177"
U00017,frankgray206,frankgray206@hotmail.com,user,2024-11-05,3059,3588,132,231,"C064,C058"
U00018,gabriellecameron66,gabriellecameron66@gmail.com,user,2025-04-01,4537,1885,150,112,C019
U00019,lydiatrujillo725,lydiatrujillo725@yahoo.com,user,2024-06-26,552,257,84,36,"C061,C072,C172,C125,C055,C139,C034,C186,C147"
U00020,carl95591,carl95591@gmail.com,user,2025-09-01,3874,3334,48,48,"C169,C111"
U00021,pfoster363,pfoster363@yahoo.com,user,2024-12-28,443,806,15,206,"C028,C064,C050,C049,C138,C115"
U00022,josephwright144,josephwright144@hotmail.com,user,2024-08-04,3789,2046,19,226,"C026,C013,C167,C139,C004,C024,C193,C061,C043"
U00023,julie69417,julie69417@yahoo.com,user,2024-06-15,3285,480,42,194,C100
U00024,jeffrey28272,jeffrey28272@yahoo.com,mod,2025-09-01,3727,2336,108,356,"C170,C184,C125,C040,C049,C076,C056,C015,C149"
U00025,camposmichelle754,camposmichelle754@gmail.com,user,2025-08-03,2569,468,12,299,"C129,C136,C041,C015,C131,C021,C048,C018"
U00026,laurahenderson610,laurahenderson610@gmail.com,user,2025-10-31,1926,3307,30,482,"C064,C149,C153,C011,C159,C021,C108,C169,C150,C145"
U00027,djames536,djames536@hotmail.com,user,2024-07-21,1673,2573,61,135,"C034,C172,C166,C077,C118,C081,C193"
U00028,tasha01959,tasha01959@hotmail.com,user,2024-12-21,4612,819,18,275,"C130,C068,C034,C090"
U00029,kayla51903,kayla51903@yahoo.com,user,2024-07-08,3027,2334,40,224,"C181,C078,C157,C168,C136,C003,C171,C142,C077"
U00030,amoore955,amoore955@hotmail.com,user,2024-04-14,2166,945,27,380,"C040,C070,C073,C155,C054,C184,C088,C053,C176"
U00031,teresa28650,teresa28650@gmail.com,user,2025-01-27,4002,2057,13,47,"C071,C012,C001,C086,C198,C034,C164"
U00032,meagan89269,meagan89269@gmail.com,user,2024-12-09,4519,3503,143,4,"C020,C177"
U00033,nathanielmartin926,nathanielmartin926@hotmail.com,user,2024-01-28,3024,4771,141,75,"C033,C011,C079,C094,C092,C054,C175"
U00034,georgetracy256,georgetracy256@gmail.com,user,2024-10-01,4586,3329,158,383,"C061,C042,C046"
U00035,natasha43903,natasha43903@gmail.com,user,2024-05-19,2721,3372,171,442,"C069,C041,C180,C028"
U00036,nataliearroyo392,nataliearroyo392@gmail.com,user,2025-10-28,3855,1822,51,418,"C090,C079,C059,C058,C007,C169,C050,C103"
U00037,wcabrera337,wcabrera337@hotmail.com,user,2024-02-23,2286,2876,164,260,"C174,C138,C085,C008,C030,C067,C046"
U00038,davidalvarez595,davidalvarez595@hotmail.com,mod,2024-07-25,313,888,152,222,"C187,C081,C112,C156,C131,C030"
U00039,josephbrennan395,josephbrennan395@yahoo.com,user,2024-05-27,2086,363,181,223,C134
U00040,sarahcampos948,sarahcampos948@hotmail.com,user,2025-06-17,1614,2983,110,35,"C160,C081,C170,C032,C185,C077"
